Y,LandArea,PercentPopYoung,PercentPop65,NumPhysicians,NumHospitalBeds,PercentHSGrad,PercentCollDeg,PercentBelowPov,PercentUnemploy,PerCapitaIncome,TotalPIncome
6.88936,4060,32.1,9.7,23677,27700,70,22.3,11.6,8,20786,184230
4.36936,946,29.2,12.4,15153,21550,73.4,22.8,11.1,7.2,21729,110928
2.53526,1729,31.3,7.1,7553,12449,74.9,25.4,12.5,5.7,19517,55003
1.73821,4205,33.5,10.9,5905,6179,81.9,25.3,8.1,6.1,19588,48931
1.44524,790,32.6,9.2,6062,6369,81.2,27.8,5.2,4.8,24400,58818
6.80966,71,28.3,12.4,4861,8942,63.7,16.6,19.5,9.5,16803,38658
1.77593,9204,29.2,12.5,4320,6104,81.5,22.1,8.8,4.9,18042,38287
1.93978,614,27.4,12.5,3823,9490,70,13.7,16.9,10,17461,36872
2.44725,1945,27.1,13.9,6274,8840,65,18.8,14.2,8.7,17823,34525
2.14258,880,32.6,8.2,4718,6934,77.1,26.3,10.4,6.1,21001,38911
1.09148,135,29.1,15.2,6641,10494,64.3,15.2,16.1,8,16721,26512
1.24959,2126,30.1,11.1,5280,4009,88.2,32.8,5,4.6,23779,35843
0.77009,1291,32.6,8.7,4101,3342,82,32.6,5,5.5,25193,37728
0.8311,20062,30.1,8.8,2463,3349,75.4,14.9,10.3,8,16399,23260
0.7315,458,26.3,15.6,5620,8132,74,20.1,11,5.5,21086,29776
0.35825,824,31.7,12.5,5158,4152,84.3,35.4,4.2,7.3,25312,35398
0.50186,730,26.2,17.4,5281,8436,79,22.6,8.7,5.3,20681,27639
0.66723,911,27.9,10.8,3021,3904,82.2,23,3.3,7,24262,32071
0.43203,287,25.7,14.2,6147,5200,84.2,30,2.5,5.1,31679,40782
1.07338,738,30.8,10.6,3169,3284,81.4,28.8,8.1,5.3,22148,28331
1.07386,1209,25.3,20.7,2456,5543,76.8,18.8,7.1,7.4,22355,28066
1.33098,1247,29.5,9.9,3062,4086,72.7,19.7,16.2,6.7,15508,18383
0.95494,7208,27.9,13.2,1385,2435,74.1,14.6,8.4,10.7,17185,20114
1.32495,864,32.2,8.3,1677,3672,79.9,24,8.2,6.6,18825,22027
0.50964,873,27.6,10.9,4020,3254,84.6,30.2,4.4,7.3,26884,29131
0.84305,966,29.7,10.6,2464,2855,82.2,23,9.8,6.3,18934,19714
0.71753,557,31.6,11.3,3706,5395,88.2,31.6,6.4,4.3,23705,24474
0.42595,508,26.1,13.1,1194,1056,82.3,29.2,4,5.1,24219,24062
0.55306,1045,27.3,15.2,2748,4632,76.4,20,9.4,6.8,18305,17729
0.8268,540,33.5,9.6,2675,4011,81,26.6,9.1,4.2,19040,18306
0.73681,242,29.3,13.6,2774,4141,76.3,19.3,12.6,4.9,18431,17680
0.37118,433,26.3,14.4,4577,3540,81,35.3,4.7,5.4,33330,29159
0.57208,407,28,13.3,3164,4683,75.6,23.7,10.3,4.5,20580,17827
0.76142,1974,23.3,24.4,1833,3164,78.8,22.1,6.2,8.4,26798,23141
0.51926,736,28.3,14.1,2851,2940,77.7,25.8,6,6.9,24875,21188
0.62344,280,22.4,26,1620,4458,78.1,18.5,6.2,6.2,21610,18404
0.51032,600,30.6,11,2025,2174,81.2,24.6,5.4,2.3,21307,17818
0.89895,1051,29.4,12.2,2012,3068,75.6,20.2,9.5,6,16876,14075
0.44374,626,26.7,13.3,2417,2494,81,34.2,4.5,5.9,32342,26768
0.67032,755,29.4,10.4,2489,4918,75.1,20.8,14.7,5.4,18430,15229
0.28521,234,25.4,15.3,3226,2279,81.6,31.7,2.7,5.2,32230,26602
0.30202,396,29.2,6.5,1694,135,91.4,49,2.2,3.2,28999,23738
0.52903,606,28.7,14.7,3161,2486,77.5,24.2,6,7.3,22197,17851
0.51243,720,26.5,10.9,1761,1781,86.5,31.6,5.5,5.6,25523,20514
0.61004,396,30.6,11.7,2936,4654,76.8,21.4,9.3,5,19148,15264
0.29708,334,29,8.7,2157,1842,88.6,36,1.7,4.8,26772,20927
0.75595,126,28.6,12.7,2811,4841,70.1,24,11.3,7.9,24523,19084
0.34754,495,28.6,10.2,4635,1507,90.6,49.9,2.7,3.3,30081,22772
0.52786,7911,29,10.5,969,2011,77.3,13.8,7.5,5.8,18625,13810
0.87355,81,30,13.7,5444,6203,60.7,15.5,17.8,9.4,17263,12706
0.54469,486,33.7,6.9,1253,1322,83.2,25.5,3.7,5,19568,14270
0.5861,737,27.8,8.5,2094,2076,85.3,23.8,7.7,4.5,15399,11179
0.71234,47,32.2,14.5,4761,3640,78,35,9.7,5.6,28532,20656
0.41048,480,28.2,12.3,705,1202,76.9,13.5,4,9.4,20924,15011
0.4378,659,29,12.5,2438,3077,80.1,26.3,7.7,4.4,21641,15451
0.07099,1513,29.2,13.7,1902,2205,77.4,22.2,6.3,10.2,19895,14120
0.46789,599,27.8,14,1269,641,78.4,25,3.8,5.7,23470,16244
0.20335,483,26.1,15,3237,2425,83.8,32.1,2.2,5,28462,19300
0.52577,908,33.2,10.6,1367,2929,78.8,21.2,7.8,6.6,17879,12113
0.68586,774,30.7,10.7,1538,2623,76.9,18.4,9.8,6.6,17662,11886
0.30548,311,31.6,11.8,1637,1880,79.4,26.5,3.4,5.7,24896,16725
0.34312,498,27.3,14.1,1185,2009,80.2,25.9,7.5,9,22834,15301
0.30235,1846,28.8,9.4,1168,1372,79.4,23,5,7,21420,14330
0.62004,5963,28.3,10.4,1188,1681,66.2,16.9,16.8,12.6,16365,10923
0.57051,9187,28.9,13.7,1841,2016,80.5,23.3,12,3.9,15191,10131
0.32419,385,27,13.4,2171,3559,74.1,19.3,10.9,6.3,19140,12727
0.68808,59,39.2,12.1,5674,6154,75.4,27.7,14.4,8.7,23150,15369
0.55604,1113,26.7,14,2532,4602,73.8,19.9,12.7,5.3,18624,12134
0.30473,449,28.4,12.3,1814,1642,84.1,31.3,4.3,4.2,28819,18721
0.93025,529,31.6,10,3368,5757,77.8,31.6,15.4,5.3,22819,14808
0.6176,605,28.1,13.1,1695,3762,79.5,20,9.8,6.5,18611,11785
0.1483,400,28.8,14.1,2758,1903,88,34.4,3.1,7.5,26909,16578
0.64393,61,33.6,12.8,3674,4262,73.1,33.3,13.3,7.7,23603,14325
0.57045,709,28.4,12.1,1922,3487,79.1,22.6,11.3,6,17741,10638
0.34627,413,29.9,15.8,1862,2360,67,18.3,8.9,9,17866,10653
0.54002,1013,29.5,8.1,795,1650,63.7,15.2,22.4,10.8,11545,6830
0.4198,1676,29.5,10.5,915,1226,83.2,17.5,8.7,6.4,16194,9493
0.58216,435,28.4,13.6,2571,3009,82.9,23.7,8.9,5.1,19215,11219
0.60961,989,38,7.3,1254,1392,83.4,34.7,10.2,4.8,18340,10571
0.36665,462,28.1,12.6,1313,3068,77.8,20,9.8,5.7,18410,10564
0.22302,472,25.6,12.7,1300,1904,82.8,28.4,3.4,5.8,27391,15151
0.40581,47,31.5,12.7,1036,2443,64.1,19.7,12.4,9,18463,10212
0.18924,184,27.6,15.5,1374,1588,81.4,24.8,5,5.3,23658,12956
0.5695,268,32.6,8.5,1036,922,83.9,32.7,7.2,4.4,21005,11465
0.36318,8142,28.3,9.7,682,1194,67.6,13.3,13.7,11.8,15881,8631
0.16894,608,26.6,10.9,879,1435,82.9,24.8,2.9,6.7,22548,12202
0.22349,448,28.9,8.4,1093,1499,84.7,32,3.7,4.6,27378,14138
0.26228,413,26.8,13.8,1216,2226,78.3,19.7,9.5,6,18583,9570
0.57999,527,32,9.4,1114,2021,81.6,28.3,7.2,4.8,20942,10710
0.45237,502,32.1,11.6,2293,3847,75.9,24.4,10,4.6,19505,9963
0.22023,556,27.6,14.4,572,1306,65,15.9,7.4,12.3,18521,9378
