Y,X1,X2,X3,X4,X5
23677,8863164,184230,0,0,0
15153,5105067,110928,0,1,0
7553,2818199,55003,0,0,1
5905,2498016,48931,0,0,0
6062,2410556,58818,0,0,0
4861,2300664,38658,1,0,0
4320,2122101,38287,0,0,0
3823,2111687,36872,0,1,0
6274,1937094,34525,0,0,1
4718,1852810,38911,0,0,1
6641,1585577,26512,1,0,0
5280,1507319,35843,0,0,0
4101,1497577,37728,0,0,0
2463,1418380,23260,0,0,0
5620,1412140,29776,0,1,0
5158,1398468,35398,1,0,0
5281,1336449,27639,1,0,0
3021,1321864,32071,1,0,0
6147,1287348,40782,1,0,0
3169,1279182,28331,0,0,0
2456,1255488,28066,0,0,1
3062,1185394,18383,0,0,1
1385,1170413,20114,0,0,0
1677,1170103,22027,0,0,1
4020,1083592,29131,0,1,0
2464,1041219,19714,0,0,0
3706,1032431,24474,0,1,0
1194,993529,24062,0,1,0
2748,968532,17729,1,0,0
2675,961437,18306,0,1,0
2774,959275,17680,0,1,0
4577,874866,29159,1,0,0
3164,866228,17827,0,1,0
1833,863518,23141,0,0,1
2851,851783,21188,1,0,0
1620,851659,18404,0,0,1
2025,836231,17818,0,0,0
2012,834054,14075,0,0,1
2417,827645,26768,1,0,0
2489,826330,15229,0,0,1
3226,825380,26602,1,0,0
1694,818584,23738,0,0,1
3161,804219,17851,1,0,0
1761,803732,20514,0,0,0
2936,797159,15264,0,1,0
2157,781666,20927,0,1,0
2811,778206,19084,1,0,0
4635,757027,22772,0,0,1
969,741459,13810,0,0,0
5444,736014,12706,0,0,1
1253,729268,14270,0,0,1
2094,725956,11179,0,0,0
4761,723959,20656,0,0,0
705,717400,15011,0,1,0
2438,713968,15451,1,0,0
1902,709705,14120,1,0,0
1269,692134,16244,0,0,1
3237,678111,19300,1,0,0
1367,677491,12113,0,0,1
1538,672971,11886,0,0,1
1637,671780,16725,1,0,0
1185,670080,15301,1,0,0
1168,669016,14330,0,0,0
1188,667490,10923,0,0,0
1841,666880,10131,0,0,0
2171,664937,12727,0,0,1
5674,663906,15369,1,0,0
2532,651525,12134,0,0,1
1814,649623,18721,0,0,0
3368,648951,14808,0,0,1
1695,633232,11785,0,1,0
2758,616087,16578,1,0,0
3674,606900,14325,0,0,1
1922,599611,10638,0,0,1
1862,596270,10653,1,0,0
795,591610,6830,0,0,1
915,586203,9493,0,0,0
2571,583887,11219,0,0,0
1254,576407,10571,0,0,1
1313,573809,10564,0,1,0
1300,553124,15151,1,0,0
1036,553099,10212,1,0,0
1374,547651,12956,1,0,0
1036,545837,11465,0,0,1
682,543477,8631,0,0,0
879,541174,12202,1,0,0
1093,516418,14138,0,1,0
1216,514990,9570,0,1,0
1114,511433,10710,0,0,1
2293,510784,9963,0,0,1
572,506325,9378,1,0,0
1158,503341,9712,0,0,1
1255,502824,10021,1,0,0
1007,500631,9349,0,1,0
2500,496938,8238,0,0,1
1362,493819,12962,1,0,0
1512,485765,9862,0,1,0
666,480628,7427,0,0,0
1585,480577,8419,0,0,0
707,475594,7765,0,1,0
1534,468973,9099,1,0,0
2867,467610,10360,0,0,0
502,465642,8635,0,0,0
1391,462361,8237,0,1,0
904,456310,8703,1,0,0
831,453060,9955,1,0,0
